variant,variant_label,kind,rebalance_date,estimation_start,estimation_end,first_held_return_date,estimation_observations,view_scale_annual,is_primary,risk_aversion,tau,turnover,transaction_cost,covariance_trace,covariance_condition_number,covariance_ridge_added,expected_return_min,expected_return_max,solver_success,solver_status,solver_iterations,active_view_count,mean_active_confidence,maximum_active_confidence,minimum_view_uncertainty,maximum_view_uncertainty,posterior_return_shift_l2,maximum_absolute_posterior_return_shift,l1_weight_tilt_from_prior,maximum_weight_sum_residual,maximum_bound_residual
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-08-02,2020-07-31,2021-07-30,2021-08-02,252,0.0,False,2.5,0.05,0.11625193693995128,0.00011625193693995129,4.644660133462096,291.6771084447581,9.289320174030991e-10,-0.03111480254552568,0.9864628459904821,True,0,0,7,0.41718550762872086,0.9487534626038782,,,,,0.18886636056802197,2.220446049250313e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-09-01,2020-09-01,2021-08-31,2021-09-01,252,0.0,False,2.5,0.05,0.10933147025139675,0.00010933147025139676,4.51621493339901,314.3404924254211,9.032429776473723e-10,-0.07863987065770972,1.0546679801982481,True,0,0,9,0.5116582427958088,0.9580498866213152,,,,,0.16452608273856434,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-10-01,2020-10-01,2021-09-30,2021-10-01,252,0.0,False,2.5,0.05,0.10208462475909331,0.00010208462475909332,4.295516232029762,344.8846496829951,8.591032378149199e-10,-0.12416434745014902,1.315533795988761,True,0,0,10,0.7258642939814813,0.986328125,,,,,0.17360837427999162,1.1102230246251565e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-11-01,2020-10-30,2021-10-29,2021-11-01,252,0.0,False,2.5,0.05,0.08268713002096612,8.268713002096611e-05,4.159227537977499,315.90188050678523,8.318454992770447e-10,-0.03804484144889364,1.5250342431668675,True,0,0,8,0.6153744564331634,0.7552083333333334,,,,,0.13584306675710192,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2021-12-01,2020-12-01,2021-11-30,2021-12-01,252,0.0,False,2.5,0.05,0.12261705445172413,0.00012261705445172413,3.7330974299977373,268.85629255670045,7.466194785333525e-10,-0.17349452421536093,0.9785778184849881,True,0,0,9,0.4754060868635492,0.9215500945179584,,,,,0.15262026750991284,1.1102230246251565e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-01-03,2021-01-04,2021-12-31,2022-01-03,252,0.0,False,2.5,0.05,0.09034772252916233,9.034772252916234e-05,3.785003164708261,290.9337377595371,7.570006253716459e-10,-0.12605950714046,0.914339693277029,True,0,0,9,0.5654832853923462,0.9722222222222222,,,,,0.16079827370359553,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-02-01,2021-02-02,2022-01-31,2022-02-01,252,0.0,False,2.5,0.05,0.10655122918450138,0.00010655122918450139,3.7798292049481974,318.9718688197157,7.559658334299811e-10,-0.15047290084382414,0.8728852544158702,True,0,0,10,0.8427968808787126,0.9874260355029584,,,,,0.1451362533758861,2.220446049250313e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-03-01,2021-03-02,2022-02-28,2022-03-01,252,0.0,False,2.5,0.05,0.12503274419903868,0.00012503274419903868,3.8465221707918356,276.3171762647196,7.693044264653227e-10,-0.2425927947907769,0.8761242453888961,True,0,0,10,0.6418745303720044,0.9385813148788926,,,,,0.1772126110732924,2.220446049250313e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-04-01,2021-04-05,2022-03-31,2022-04-01,252,0.0,False,2.5,0.05,0.11493740817986822,0.00011493740817986823,4.024441658350308,311.33527755599476,8.048883236211783e-10,-0.28945013253051877,0.8913328012218693,True,0,0,10,0.7790336876823586,0.9911242603550297,,,,,0.1663452284932684,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-05-02,2021-05-03,2022-04-29,2022-05-02,252,0.0,False,2.5,0.05,0.10289428905886193,0.00010289428905886194,4.284996708228052,314.19614183547003,8.569993330756168e-10,-0.4753197972276958,0.9388799704010586,True,0,0,9,0.7348474870508335,0.9619140625,,,,,0.13472384919588853,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-06-01,2021-06-02,2022-05-31,2022-06-01,252,0.0,False,2.5,0.05,0.11518849523392476,0.00011518849523392476,4.683380842181999,429.5009606662642,9.366761590696385e-10,-0.5815489189410324,1.0545687899640876,True,0,0,10,0.7317111253620727,0.9429065743944636,,,,,0.18608746763173348,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-07-01,2021-07-01,2022-06-30,2022-07-01,252,0.0,False,2.5,0.05,0.1339159710528259,0.0001339159710528259,5.06933383844659,510.5361682089672,1.0138667575506501e-09,-0.5782209800041562,0.8011361548468544,True,0,0,10,0.7217080101011769,0.9821428571428572,,,,,0.1729300480907744,2.220446049250313e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-08-01,2021-07-30,2022-07-29,2022-08-01,252,0.0,False,2.5,0.05,0.1394096539237715,0.0001394096539237715,5.264405780011374,519.2828415783691,1.0528811454734633e-09,-0.4743378757951733,1.0610827829850287,True,0,0,9,0.755139526208715,0.954861111111111,,,,,0.18769334022828568,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-09-01,2021-09-01,2022-08-31,2022-09-01,252,0.0,False,2.5,0.05,0.1032143716515784,0.0001032143716515784,5.410058492317103,557.7047098850965,1.0820116876433034e-09,-0.489901311668022,1.1828191271343909,True,0,0,10,0.7352539727591649,0.9911242603550297,,,,,0.13929561299475368,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-10-03,2021-10-01,2022-09-30,2022-10-03,252,0.0,False,2.5,0.05,0.11043959140807652,0.00011043959140807653,5.666887786649403,617.4377085828124,1.133377545996105e-09,-0.6348446139350687,0.8913308032260187,True,0,0,8,0.5202023296489008,0.9710743801652894,,,,,0.11932688440526007,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-11-01,2021-11-01,2022-10-31,2022-11-01,252,0.0,False,2.5,0.05,0.12879331988946288,0.00012879331988946289,6.021456174395363,648.5502777321982,1.2042912228361604e-09,-0.6083168093436072,0.9320822595695339,True,0,0,9,0.7659488914456863,0.96,,,,,0.14810395172560994,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2022-12-01,2021-12-01,2022-11-30,2022-12-01,252,0.0,False,2.5,0.05,0.15308940605349658,0.00015308940605349657,6.249555728017336,701.6202416455271,1.249911133104356e-09,-0.5492037107009324,1.012398262304997,True,0,0,10,0.6722616444405487,1.0,,,,,0.17967966190253662,0.0,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2023-01-03,2021-12-31,2022-12-30,2023-01-03,252,0.0,False,2.5,0.05,0.12070210371039905,0.00012070210371039906,6.191813444196875,713.826459680812,1.2383626764557482e-09,-0.6198019913959887,0.9359017507349877,True,0,0,9,0.604740279391524,1.0,,,,,0.1584520300049214,1.1102230246251565e-16,0.0
direct_coverage_tilt,Direct coverage-aware sentiment tilt,direct,2023-02-01,2022-01-31,2023-01-31,2023-02-01,252,0.0,False,2.5,0.05,0.0926451529168084,9.26451529168084e-05,6.113900152339298,662.3865223016511,1.2227800182400594e-09,-0.4107847709334955,0.6931753816190576,True,0,0,10,0.6919806195888801,0.9593572778827976,,,,,0.152351110844464,2.220446049250313e-16,0.0
