date,ticker_count,covered_tickers,headline_count,coverage_breadth,plain_sentiment_index,plain_fear_greed_index,plain_standardized_score,finance_sentiment_index,finance_fear_greed_index,finance_standardized_score,standardization_basis,no_news_policy
2023-05-15,50,46,209,0.92,0.096669116994117,54.83345584970585,0.314009922260017,0.10416608036408036,55.20830401820401,0.2580988388691308,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-16,50,39,161,0.78,0.06575965865800866,53.287982932900434,-0.5396552435141397,0.06457732532467532,53.228866266233766,-0.7559873467162408,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-17,50,38,149,0.76,0.03111671515151515,51.555835757575764,-1.4964327382794842,0.03680663737373737,51.840331868686874,-1.4673477061722813,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-18,50,42,184,0.84,0.07451647638888889,53.72582381944444,-0.2978072570952635,0.08507031111111112,54.25351555555555,-0.23104904626358197,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-19,50,40,159,0.8,0.08518373516842635,54.25918675842132,-0.0031962310666462097,0.10038410847159378,55.019205423579685,0.16122169669516354,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-22,50,44,245,0.88,0.08016706052281052,54.00835302614052,-0.14174800853282649,0.08501685099900098,54.25084254995005,-0.2324184543471847,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-23,50,37,110,0.74,0.07381147619047619,53.69057380952381,-0.31727812923752075,0.06668521904761905,53.33426095238095,-0.7019925721144203,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-24,50,41,152,0.82,0.033923074603174605,51.696153730158734,-1.4189259997118886,0.04904650793650793,52.452325396825394,-1.1538171685561327,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-25,50,41,245,0.82,0.07552804414568882,53.77640220728445,-0.2698695253042272,0.07878515762086613,53.939257881043304,-0.39204646389889314,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
2023-05-26,50,38,151,0.76,0.11153161219512193,55.5765806097561,0.7244860390401638,0.11017107154471546,55.50855357723577,0.41191975581341794,full displayed sample 2020-01-02 to 2023-12-29; descriptive only,all 50 ticker-days retained; no-news score = 0
